filename,width_pixels,height_pixels,total_pixels,crack_pixels,contact_pixels,interconnect_pixels,corrosion_pixels
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell0.png,196,199,39004,0,349,0,0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell1.png,196,199,39004,0,39,28,0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell10.png,196,199,39004,0,0,0,0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell11.png,196,199,39004,0,61,0,0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell12.png,196,199,39004,0,0,0,0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell13.png,196,199,39004,0,0,0,0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell14.png,196,199,39004,0,0,13,0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell15.png,196,199,39004,0,0,0,0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell16.png,196,199,39004,0,0,0,0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell17.png,196,199,39004,0,0,0,0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell18.png,196,199,39004,0,13,30,0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell19.png,196,199,39004,0,0,0,0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell2.png,196,199,39004,0,0,0,0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell20.png,196,199,39004,0,0,0,0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell21.png,196,199,39004,0,0,0,0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell22.png,196,199,39004,0,0,0,147
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell23.png,196,199,39004,0,0,0,0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell24.png,196,199,39004,0,82,21,0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell25.png,196,199,39004,0,0,1,0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell26.png,196,199,39004,0,0,6,0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell27.png,196,199,39004,0,38,98,0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell28.png,196,199,39004,0,215,62,0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell29.png,196,199,39004,0,0,0,0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell3.png,196,199,39004,0,193,0,0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell30.png,196,199,39004,0,0,0,0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell31.png,196,199,39004,0,0,0,0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell32.png,196,199,39004,0,0,0,0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell33.png,196,199,39004,0,0,0,0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell34.png,196,199,39004,0,0,0,0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell35.png,196,199,39004,0,0,0,0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell4.png,196,199,39004,0,195,0,0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell5.png,196,199,39004,0,44,0,0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell6.png,196,199,39004,0,0,0,0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell7.png,196,199,39004,0,474,0,0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell8.png,196,199,39004,0,0,0,0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell9.png,196,199,39004,0,0,0,0
20170505_032848_SHELL_M55_6320427401_before_s_A_V_cell0.png,196,199,39004,0,0,0,0
20170505_032848_SHELL_M55_6320427401_before_s_A_V_cell1.png,196,199,39004,0,132,0,0
20170505_032848_SHELL_M55_6320427401_before_s_A_V_cell10.png,196,199,39004,0,0,0,0
20170505_032848_SHELL_M55_6320427401_before_s_A_V_cell11.png,196,199,39004,0,0,240,0
20170505_032848_SHELL_M55_6320427401_before_s_A_V_cell12.png,196,199,39004,0,65,0,0
20170505_032848_SHELL_M55_6320427401_before_s_A_V_cell13.png,196,199,39004,0,0,0,0
20170505_032848_SHELL_M55_6320427401_before_s_A_V_cell14.png,196,199,39004,0,0,26,13
20170505_032848_SHELL_M55_6320427401_before_s_A_V_cell15.png,196,199,39004,0,65,13,0
20170505_032848_SHELL_M55_6320427401_before_s_A_V_cell16.png,196,199,39004,0,270,0,0
20170505_032848_SHELL_M55_6320427401_before_s_A_V_cell17.png,196,199,39004,0,0,0,0
20170505_032848_SHELL_M55_6320427401_before_s_A_V_cell18.png,196,199,39004,0,0,23,0
20170505_032848_SHELL_M55_6320427401_before_s_A_V_cell19.png,196,199,39004,0,0,42,0
20170505_032848_SHELL_M55_6320427401_before_s_A_V_cell2.png,196,199,39004,0,9,0,0
