ID_x,module-id,comment,exposure_time,current,voltage,iso,aperture,camera,filename,identifier,Crack,Contact,Corrosion,Interconnect,sinton_iv_id,Sample_ID,Batch_ID,Measurement_Date-Time,date_y,time_y,load_voltage,reference_constant,voltage_temperature_coefficient,temperature-offset,setpoint-initial,step-size-one,step-size-switch,step-size-two,setpoint-isc-voltage,pulse-wait-time,pulse-wait-time-voc,pulse-length,pulse-wait-time-voc-length,ID_y,User_ID,txt_filename,mfr_filename,Isc_(A),Voc_(V),Imp_(A),Vmp_(V),Pmp_(W),FF_(percent),Efficiency_(percent),Rsh_(ohm),Rs_(ohm),Jsc_(A/cm2),Voc_(V/cell),Jmp_(A/cm2),Vmp_(V/cell),Pmp_(W/cm2),Cell_Efficiency_(percent),Rsh_(ohm-cm2),Rs_(ohm-cm2),ILoad_(A),VLoad_(V),FFLoad_(percent),PLoad_(W),EffLoad_(percent),RsLoad_(ohm),JLoad_(A/cm2),VLoad_(V/cell),PLoad_(W/cm2),Cell_EffLoad_(percent),RsLoad_(ohm-cm2),Rs_Modulation_(ohm-cm2),Measured_Temperature_(C),Total_Test_Time_(s),pJmp_(A/cm2),pVmp_(V/cell),pPmp_(W/cm2),pFF_(percent),pEfficiency_(percent),n_at_1_sun,Jo1_(A/cm2),Jo2_(A/cm2),Jo_at_Vmp_(fA/cm2),Jo_at_Voc_(fA/cm2),Lifetime_at_Vmp_(us),Doping_(cm-3),Measured_Resistivity_(Ohm-cm),Measured_Thickness_(cm),Max_Intensity_(suns),Intensity_@_flash_cutoff_(suns),V_at_Isc_(V),dV/dt,V_Pad_0_(V),Capacitance_(uF/cm2),Pmp_Error_due_to_Capacitance_(percent),Pm/Pe,Total_IV_Curve_Loss_(percent),BulkSRH_AND_Jo_Power_Loss_(percent),Rs_Power_Loss_(percent),Rsh_Power_Loss_(percent),Richter_Limit_Efficiency_(percent),Delta_Power_per_(fA/cm2)_at_pVmp_(percent),Dark_Break_Interpolated,Calibration,Resistivity_(ohm-cm),Analysis_Resistivity_(ohm-cm),Sample_Type,Thickness_(cm),Cell_Area_(cm2),Total_Area_(cm2),Number_of_Cells_per_String,Number_of_Strings,Temperature_(C),Intensity_(suns),Analysis_Type,Nominal_Load_Voltage_(mV/cell),Rs_Modulation_Target_(ohm-cm2),Reference_Constant_(V/sun),Voltage_Temperature_Coefficient_(mV/C),Temperature_Offset_(C),Power_per_Sun_(W/m2),Conductivity_Modulation_(ohm-cm2/V),Auger_Coefficient,Band_Gap_Narrowing,Fit_Method,Carrier_Density_Center_Point_(cm-3),Percent_Fit,Lower_Bound_(cm-3),Upper_Bound_(cm-3),Rsh_Lifetime_Correction,Rsh_Measurement_Method,SunsVoc_Rsh_Voltage_(V),Do_Dark_Break_Measurement,Temperature_Measurement_Method,Number_of_dRsh_Points,dRsh_Output_Vlimit_(V),Current_Transfer,Voltage_Transfer,Temperature_Transfer,Final_Bin,Bin_Index,Do_Doping_Measurement,Doping_Sample_Time_(us),Doping_Measurement_Length_(us),Measurement_Type,Comments,Measurement_Date-Time_String,Software_Version,Recipe_Filename,Forward_Dark_IV_Interpolated?,Doping_Calibration_Factor_(V/sun),Vmp_Correction_Factor_(percent),Flash_1/e_Decay_Time_(ms),Missed_Flashes,Auger_Method,Photon_Recycling,Photon_Recycling_Equation,module_id,identifier_defect,Measurement_DateTime,square,ring,crack,bright_crack,hotspot,gridline_darkening,near_busbar,shattered,serial_number,datetime
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20220114_154550_SHELL_M55_6320427218,2022-01-14 15:45:50,0.965478774722222,0.0061123225944444,0.0244343655583333,0.0092873323805555,0.0544036328972222,0.0012216373061111,0.0009283146436111,0.0003307309858333,6320427218.0,2022-01-14 15:45:50
,,,,,,,,,,20220114_170700_SHELL_M55_6320427218,,,,,19690.0,20220114_170657_6320427218_01,20220114_SHELL_M55,2022-01-14 17:07:00,20220114.0,170657,483.0,0.247409,2.2,-0.6,0.0,60.0,440.0,18.0,0.0,1500.0,3000.0,5000.0,180000.0,23898.0,DJC,IVT20220114-SHELL_M55-20220114_170657_6320427218_X_01.txt,IVT20220114-SHELL_M55-20220114_170657_6320427218_X_01.mfr,3.01802,21.498866,2.730858,16.513422,45.095805,69.502191,10.66599,1178.907111,0.951395,0.02877,0.597191,0.026033,0.458706,0.011941,11.94148,3435.204333,2.772259,2.730858,16.513422,69.502191,45.095805,10.66599,0.951395,0.026033,0.458706,0.011941,11.94148,2.772259,5.575946,22.304715,47.856494,0.027043,0.516441,0.013966,81.285529,13.966028,0.96503,1.97e-12,2.92e-08,,,13.520445,5290000000000000.0,2.691309,,1.173624,0.544091,1.905845,1371.484233,16.513422,1.46695,,,,9.728575,13.594526,0.537148,,,0.0,0.0,2.691309,,p-type,0.018,104.9,4228.0,36.0,1.0,25.0,1.0,Generalized,483.0,3.409317,0.247409,2.2,-0.6,1000.0,13.6157,1.66e-30,OFF,Center Point,3000000000000000.0,30.0,2000000000000000.0,4000000000000000.0,OFF,SunsVoc Rsh (Module),0.45,0.0,Thermocouple,2.0,10.0,-0.05,3.0108,0.01,A,0.0,1.0,0.0,0.0,Full IV,,1/14/2022 17:07,,FSEC_Shell-M55.mfi,,,,,,Sinton,,,F0201-0061,,,,,,,,,,,6320427218.0,2022-01-14 17:07:00
,,,,,,,,,,20220114_170800_SHELL_M55_6320427218,,,,,19691.0,20220114_170802_6320427218_02,20220114_SHELL_M55,2022-01-14 17:08:00,20220114.0,170802,483.0,0.247409,2.2,-0.6,0.0,60.0,440.0,18.0,0.0,1500.0,3000.0,5000.0,180000.0,23899.0,DJC,IVT20220114-SHELL_M55-20220114_170802_6320427218_X_02.txt,IVT20220114-SHELL_M55-20220114_170802_6320427218_X_02.mfr,3.019398,21.490441,2.732303,16.506827,45.101658,69.506719,10.667374,1145.08197,0.954152,0.028784,0.596957,0.026047,0.458523,0.011943,11.94303,3336.641628,2.780292,2.732303,16.506827,69.506719,45.101658,10.667374,0.954152,0.026047,0.458523,0.011943,11.94303,2.780292,5.590212,22.323884,47.702559,0.02705,0.51663,0.013975,81.332377,13.97498,0.966442,1.97e-12,2.88e-08,,,13.611526,5370000000000000.0,2.651943,,1.170451,0.542774,1.868552,1413.103132,16.506827,1.44838,,,,9.536139,13.639482,0.55283,,,0.0,0.0,2.651943,,p-type,0.018,104.9,4228.0,36.0,1.0,25.0,1.0,Generalized,483.0,3.432742,0.247409,2.2,-0.6,1000.0,13.758438,1.66e-30,OFF,Center Point,3000000000000000.0,30.0,2000000000000000.0,4000000000000000.0,OFF,SunsVoc Rsh (Module),0.45,0.0,Thermocouple,2.0,10.0,-0.05,3.0108,0.01,A,0.0,1.0,0.0,0.0,Full IV,,1/14/2022 17:08,,FSEC_Shell-M55.mfi,,,,,,Sinton,,,F0201-0061,,,,,,,,,,,6320427218.0,2022-01-14 17:08:00
,,,,,,,,,,20220114_171000_SHELL_M55_6320427218,,,,,19692.0,20220114_170914_6320427218_01,20220114_SHELL_M55,2022-01-14 17:10:00,20220114.0,170914,483.0,0.247409,2.2,-0.6,0.0,60.0,440.0,18.0,0.0,1500.0,3000.0,5000.0,180000.0,23900.0,DJC,IVT20220114-SHELL_M55-20220114_170914_6320427218_X_01.txt,IVT20220114-SHELL_M55-20220114_170914_6320427218_X_01.mfr,3.019984,21.490249,2.731258,16.51533,45.107635,69.503061,10.668788,1130.145229,0.953237,0.028789,0.596951,0.026037,0.458759,0.011945,11.944613,3293.117624,2.777628,2.731258,16.51533,69.503061,45.107635,10.668788,0.953237,0.026037,0.458759,0.011945,11.944613,2.777628,5.490911,22.339872,47.745008,0.027058,0.516594,0.013978,81.335266,13.978064,0.964382,1.97e-12,2.89e-08,,,13.500832,5260000000000000.0,2.705357,,1.171724,0.540376,1.865429,1343.537683,16.51533,1.486523,,,,9.866741,13.617636,0.560174,,,0.0,0.0,2.705357,,p-type,0.018,104.9,4228.0,36.0,1.0,25.0,1.0,Generalized,483.0,3.410942,0.247409,2.2,-0.6,1000.0,13.685242,1.66e-30,OFF,Center Point,3000000000000000.0,30.0,2000000000000000.0,4000000000000000.0,OFF,SunsVoc Rsh (Module),0.45,0.0,Thermocouple,2.0,10.0,-0.05,3.0108,0.01,A,0.0,1.0,0.0,0.0,Full IV,,1/14/2022 17:10,,FSEC_Shell-M55.mfi,,,,,,Sinton,,,F0201-0061,,,,,,,,,,,6320427218.0,2022-01-14 17:10:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20220126_120042_SHELL_M55_6320427218,2022-01-26 12:00:42,0.9944769658333332,0.0024053871586111,0.0585136980277777,0.0082023073694444,0.0162440037277777,0.0010453767825,0.00147788494,0.0002261391672222,6320427218.0,2022-01-26 12:00:42
19882.0,F0201-0061,X,3.0,0.025,15.728,1000,9/5,DSLR-CMOS,20220128_110333_SHELL_M55_6320427218_X_3s_0.025A_15.728V.jpg,20220128_110333_SHELL_M55_6320427218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6320427218.0,2022-01-28 11:03:33
19883.0,F0201-0061,X,3.0,0.195,18.97,1000,9/5,DSLR-CMOS,20220128_110402_SHELL_M55_6320427218_X_3s_0.195A_18.970V.jpg,20220128_110402_SHELL_M55_6320427218,8.786682,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6320427218.0,2022-01-28 11:04:02
19884.0,F0201-0061,X,3.0,0.296,19.525,1000,9/5,DSLR-CMOS,20220128_110431_SHELL_M55_6320427218_X_3s_0.296A_19.525V.jpg,20220128_110431_SHELL_M55_6320427218,17.4224051,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6320427218.0,2022-01-28 11:04:31
19885.0,F0201-0061,X,1.0,1.392,21.748,1000,9/5,DSLR-CMOS,20220128_110641_SHELL_M55_6320427218_X_1s_1.392A_21.748V.jpg,20220128_110641_SHELL_M55_6320427218,2.9680358,0.0007143,0.0010969,2.55e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6320427218.0,2022-01-28 11:06:41
19886.0,F0201-0061,X,1.0,2.394,22.826,1000,9/5,DSLR-CMOS,20220128_110704_SHELL_M55_6320427218_X_1s_2.394A_22.826V.jpg,20220128_110704_SHELL_M55_6320427218,4.7270561,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6320427218.0,2022-01-28 11:07:04
