identifier,Crack,Contact,Corrosion,Interconnect
20170505_032228_SHELL_M55_6330431490,0.0,0.0436622,0.0037688,0.006640399999999999
20170505_032848_SHELL_M55_6320427401,0.0101528,0.0680699,0.0003589,0.0183571
20170505_033514_SHELL_M55_6330431474,0.0004823,0.0720124,0.0011423,0.0109655
20170505_042900_SHELL_M55_6330431490,0.3668855,0.0601479,0.0,0.0373552
20170505_084506_SHELL_M55_6320427401,0.0310282,0.0506345,7.77e-05,0.0173789
20170505_114135_SHELL_M55_6320427304,0.024070499999999998,0.006087199999999999,0.0350323,0.0061881
20170505_114208_SHELL_M55_6320427304,0.0173896,0.0128914,0.022616499999999998,0.3361308
20170505_114927_SHELL_M55_6320427434,0.0,0.0677226,0.0012945,0.0520356
20170505_150638_SHELL_M55_6320427304,0.2078384,0.0350288,0.005685900000000001,0.013224699999999999
20170505_152441_SHELL_M55_6320427321,0.0,0.1834613,0.0107436,0.0066154
20170505_152635_SHELL_M55_6320427321,0.0073104,0.1308509,0.025256400000000002,0.0064473
20170505_153710_SHELL_M55_6320427254,0.0,0.1006377,0.0038009,0.010892599999999999
20170505_154628_SHELL_M55_6320427398,0.0,0.1257908,0.0047193,0.0207909
20170505_154726_SHELL_M55_6320427398,0.0,0.1074487,0.0007908,0.0136479
20170505_155623_SHELL_M55_6330431033,0.0,0.0160168,0.0081987,0.0107373
20170505_160459_SHELL_M55_6320427744,0.0,0.1159231,0.0114872,0.0093844
20170505_161155_SHELL_M55_6330432606,0.0,0.027732999999999997,0.006506,0.0146193
20170505_161912_SHELL_M55_6330431478,0.0,0.0215052,0.0031633,0.0230612
20170505_162605_SHELL_M55_6320427276,0.0,0.0638908,0.0014613,0.0066404
20170505_163211_SHELL_M55_6330431102,0.0005051,0.2321894,0.06866699999999999,0.0082581
20170505_163807_SHELL_M55_6320427328,0.046037100000000004,0.155551,0.0154545,0.034578
20170505_164415_SHELL_M55_6320427323,0.0,0.1036142,0.0158898,0.0069041
20170505_165014_SHELL_M55_6330431023,0.1076985,0.1377806,0.0349818,0.0145232
20170505_165749_SHELL_M55_6320427428,0.07949990000000001,0.076668,0.0500318,0.025589999999999998
20180410_173805_SHELL_M55_6330431474,0.0003035,1.8333295,0.0,0.0298134
20180410_174325_SHELL_M55_6330431474,0.0,0.0,0.0052685,0.0
20180410_174845_SHELL_M55_6330431474,0.0003035,1.8601783,0.0,0.0143581
20180410_175404_SHELL_M55_6330431474,0.0,0.0,0.0275334,0.0
20180410_175924_SHELL_M55_6330431474,9.34e-05,1.7686131,0.0,0.0076109
20180410_180444_SHELL_M55_6330431474,0.0,0.0036592,9.21e-05,0.0
20180410_181004_SHELL_M55_6330431474,0.0045526,1.5859734,0.0,0.0010039
20180410_181523_SHELL_M55_6330431474,0.001133,0.0,0.0,0.0
20180410_182043_SHELL_M55_6330431474,0.0167394,1.5202528,0.0,0.0011907
20180410_182603_SHELL_M55_6330431474,0.0008093,0.0183592,0.0,0.0
20180410_183123_SHELL_M55_6330431474,0.016365900000000003,1.3988745,0.0,0.0026382
20180410_183643_SHELL_M55_6330431474,0.0,0.1025479,0.0,0.0
20180410_184203_SHELL_M55_6330431474,0.0194943,1.2527492,0.0,0.0033852
20180410_184722_SHELL_M55_6330431474,0.0023004,0.3029326,0.0,0.0
20180410_185242_SHELL_M55_6330431474,0.0204282,1.0675181,0.0,0.0029884
20180410_185802_SHELL_M55_6330431474,0.0014639,0.44172259999999997,0.0,0.0
20180410_190322_SHELL_M55_6330431474,0.0224826,0.8869799,0.0,0.0039456
20180410_190842_SHELL_M55_6330431474,0.0023113,0.6446898,0.0,0.000607
20180410_191402_SHELL_M55_6330431474,0.0063503,0.7865664,0.0,2.33e-05
20180410_191922_SHELL_M55_6330431474,0.0,0.0,0.0021432,0.0
20180410_194954_SHELL_M55_6330427254,0.0187285,1.4617296,0.0,0.015312800000000001
20180410_195514_SHELL_M55_6330427254,0.0,0.0008358,0.0901101,0.0
20180410_200034_SHELL_M55_6330427254,0.1789665,1.5451016,0.0,0.0088531
20180410_200553_SHELL_M55_6330427254,0.0,0.0,0.12720140000000002,0.0
20180410_201113_SHELL_M55_6330427254,0.2327586,1.5372478,0.0,0.0106655
20180410_201633_SHELL_M55_6330427254,0.0,0.0,0.0770985,0.0
20180412_113732_SHELL_M55_6330427474,0.0173231,1.4114584,0.0,0.0432376
20180412_114253_SHELL_M55_6330427474,0.0,0.0,0.0,0.0
20180412_114813_SHELL_M55_6330427474,0.0378914,1.4954592,0.0,0.049751500000000004
20180412_115332_SHELL_M55_6330427474,0.0,0.0,0.0059785,0.0
20180412_115853_SHELL_M55_6330427474,0.0220391,1.5774051,0.0,0.058412900000000004
