filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
20170601_152946_JABIL_QCELLS_521911172014200010_800Cycles-0Pa_s_A_V_cell_4.png,96161,"{}",23,0,"{""name"":""polygon"",""all_points_x"":[23,23,28],""all_points_y"":[56,61,57]}","{""Defect_Class"":""Crack_Isolated""}"
20170601_152946_JABIL_QCELLS_521911172014200010_800Cycles-0Pa_s_A_V_cell_4.png,96161,"{}",23,1,"{""name"":""polygon"",""all_points_x"":[233,233,237,236],""all_points_y"":[231,273,274,229]}","{""Defect_Class"":""Contact_NearSolderPad""}"
20170601_152946_JABIL_QCELLS_521911172014200010_800Cycles-0Pa_s_A_V_cell_4.png,96161,"{}",23,2,"{""name"":""rect"",""x"":79,""y"":2,""width"":13,""height"":43}","{""Defect_Class"":""Contact_NearSolderPad""}"
20170601_152946_JABIL_QCELLS_521911172014200010_800Cycles-0Pa_s_A_V_cell_4.png,96161,"{}",23,3,"{""name"":""rect"",""x"":55,""y"":144,""width"":5,""height"":83}","{""Defect_Class"":""Contact_FrontGridInterruption""}"
20170601_152946_JABIL_QCELLS_521911172014200010_800Cycles-0Pa_s_A_V_cell_4.png,96161,"{}",23,4,"{""name"":""rect"",""x"":64,""y"":1,""width"":9,""height"":43}","{""Defect_Class"":""Contact_NearSolderPad""}"
20170601_152946_JABIL_QCELLS_521911172014200010_800Cycles-0Pa_s_A_V_cell_4.png,96161,"{}",23,5,"{""name"":""polygon"",""all_points_x"":[53,63,64,59,60,53],""all_points_y"":[2,2,20,21,44,45]}","{""Defect_Class"":""Contact_NearSolderPad""}"
20170601_152946_JABIL_QCELLS_521911172014200010_800Cycles-0Pa_s_A_V_cell_4.png,96161,"{}",23,6,"{""name"":""polygon"",""all_points_x"":[65,67,59,66],""all_points_y"":[272,274,275,268]}","{""Defect_Class"":""Crack_Isolated""}"
20170601_152946_JABIL_QCELLS_521911172014200010_800Cycles-0Pa_s_A_V_cell_4.png,96161,"{}",23,7,"{""name"":""polygon"",""all_points_x"":[288,282,284,279,279,287],""all_points_y"":[231,231,250,250,275,275]}","{""Defect_Class"":""Contact_NearSolderPad""}"
20170601_152946_JABIL_QCELLS_521911172014200010_800Cycles-0Pa_s_A_V_cell_4.png,96161,"{}",23,8,"{""name"":""polygon"",""all_points_x"":[254,256,259],""all_points_y"":[274,268,273]}","{""Defect_Class"":""Crack_Isolated""}"
20170601_152946_JABIL_QCELLS_521911172014200010_800Cycles-0Pa_s_A_V_cell_4.png,96161,"{}",23,9,"{""name"":""rect"",""x"":101,""y"":2,""width"":5,""height"":42}","{""Defect_Class"":""Contact_FrontGridInterruption""}"
20170601_152946_JABIL_QCELLS_521911172014200010_800Cycles-0Pa_s_A_V_cell_4.png,96161,"{}",23,10,"{""name"":""rect"",""x"":111,""y"":2,""width"":4,""height"":43}","{""Defect_Class"":""Contact_FrontGridInterruption""}"
20170601_152946_JABIL_QCELLS_521911172014200010_800Cycles-0Pa_s_A_V_cell_4.png,96161,"{}",23,11,"{""name"":""rect"",""x"":175,""y"":1,""width"":5,""height"":42}","{""Defect_Class"":""Contact_FrontGridInterruption""}"
20170601_152946_JABIL_QCELLS_521911172014200010_800Cycles-0Pa_s_A_V_cell_4.png,96161,"{}",23,12,"{""name"":""rect"",""x"":164,""y"":52,""width"":5,""height"":84}","{""Defect_Class"":""Contact_FrontGridInterruption""}"
20170601_152946_JABIL_QCELLS_521911172014200010_800Cycles-0Pa_s_A_V_cell_4.png,96161,"{}",23,13,"{""name"":""rect"",""x"":152,""y"":71,""width"":8,""height"":65}","{""Defect_Class"":""Contact_FrontGridInterruption""}"
20170601_152946_JABIL_QCELLS_521911172014200010_800Cycles-0Pa_s_A_V_cell_4.png,96161,"{}",23,14,"{""name"":""rect"",""x"":242,""y"":2,""width"":4,""height"":13}","{""Defect_Class"":""Contact_FrontGridInterruption""}"
20170601_152946_JABIL_QCELLS_521911172014200010_800Cycles-0Pa_s_A_V_cell_4.png,96161,"{}",23,15,"{""name"":""rect"",""x"":236,""y"":2,""width"":4,""height"":5}","{""Defect_Class"":""Contact_FrontGridInterruption""}"
20170601_152946_JABIL_QCELLS_521911172014200010_800Cycles-0Pa_s_A_V_cell_4.png,96161,"{}",23,16,"{""name"":""rect"",""x"":118,""y"":265,""width"":4,""height"":9}","{""Defect_Class"":""Contact_FrontGridInterruption""}"
20170601_152946_JABIL_QCELLS_521911172014200010_800Cycles-0Pa_s_A_V_cell_4.png,96161,"{}",23,17,"{""name"":""rect"",""x"":197,""y"":286,""width"":5,""height"":5}","{""Defect_Class"":""Contact_FrontGridInterruption""}"
20170601_152946_JABIL_QCELLS_521911172014200010_800Cycles-0Pa_s_A_V_cell_4.png,96161,"{}",23,18,"{""name"":""rect"",""x"":60,""y"":287,""width"":6,""height"":4}","{""Defect_Class"":""Contact_NearSolderPad""}"
20170601_152946_JABIL_QCELLS_521911172014200010_800Cycles-0Pa_s_A_V_cell_4.png,96161,"{}",23,19,"{""name"":""rect"",""x"":254,""y"":286,""width"":5,""height"":5}","{""Defect_Class"":""Contact_NearSolderPad""}"
20170601_152946_JABIL_QCELLS_521911172014200010_800Cycles-0Pa_s_A_V_cell_4.png,96161,"{}",23,20,"{""name"":""rect"",""x"":229,""y"":169,""width"":4,""height"":56}","{""Defect_Class"":""Contact_FrontGridInterruption""}"
20170601_152946_JABIL_QCELLS_521911172014200010_800Cycles-0Pa_s_A_V_cell_4.png,96161,"{}",23,21,"{""name"":""rect"",""x"":278,""y"":166,""width"":5,""height"":44}","{""Defect_Class"":""Contact_FrontGridInterruption""}"
