filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
20170602_125152_JABIL_QCELLS_521711165014200027_0Pa_s_A_V_cell_42.png,95819,{},9,0,"{""name"": ""polygon"", ""all_points_x"": [38, 44, 44, 38], ""all_points_y"": [1, 1, 39, 39]}","{""Defect_Class"":""Contact_NearSolderPad""}"
20170602_125152_JABIL_QCELLS_521711165014200027_0Pa_s_A_V_cell_42.png,95819,{},9,1,"{""name"": ""polygon"", ""all_points_x"": [49, 53, 53, 49], ""all_points_y"": [1, 1, 39, 39]}","{""Defect_Class"":""Contact_NearSolderPad""}"
20170602_125152_JABIL_QCELLS_521711165014200027_0Pa_s_A_V_cell_42.png,95819,{},9,2,"{""name"": ""polygon"", ""all_points_x"": [88, 93, 93, 88], ""all_points_y"": [1, 1, 31, 31]}","{""Defect_Class"":""Contact_NearSolderPad""}"
20170602_125152_JABIL_QCELLS_521711165014200027_0Pa_s_A_V_cell_42.png,95819,{},9,3,"{""name"": ""polygon"", ""all_points_x"": [203, 210, 210, 203], ""all_points_y"": [1, 1, 39, 39]}","{""Defect_Class"":""Contact_NearSolderPad""}"
20170602_125152_JABIL_QCELLS_521711165014200027_0Pa_s_A_V_cell_42.png,95819,{},9,4,"{""name"": ""polygon"", ""all_points_x"": [225, 270, 270, 225], ""all_points_y"": [1, 1, 40, 40]}","{""Defect_Class"":""Contact_NearSolderPad""}"
20170602_125152_JABIL_QCELLS_521711165014200027_0Pa_s_A_V_cell_42.png,95819,{},9,5,"{""name"": ""polygon"", ""all_points_x"": [96, 102, 102, 96], ""all_points_y"": [255, 255, 277, 277]}","{""Defect_Class"":""Contact_NearSolderPad""}"
20170602_125152_JABIL_QCELLS_521711165014200027_0Pa_s_A_V_cell_42.png,95819,{},9,6,"{""name"": ""polygon"", ""all_points_x"": [153, 158, 158, 153], ""all_points_y"": [260, 260, 277, 277]}","{""Defect_Class"":""Contact_NearSolderPad""}"
20170602_125152_JABIL_QCELLS_521711165014200027_0Pa_s_A_V_cell_42.png,95819,{},9,7,"{""name"": ""polygon"", ""all_points_x"": [268, 281, 281, 268], ""all_points_y"": [261, 261, 278, 278]}","{""Defect_Class"":""Contact_NearSolderPad""}"
20170602_125152_JABIL_QCELLS_521711165014200027_0Pa_s_A_V_cell_42.png,95819,{},9,8,"{""name"": ""polygon"", ""all_points_x"": [160, 166, 166, 160], ""all_points_y"": [161, 161, 213, 213]}","{""Defect_Class"":""Contact_FrontGridInterruption""}"
20170602_125152_JABIL_QCELLS_521711165014200027_0Pa_s_A_V_cell_43.png,95688,{},10,0,"{""name"": ""polygon"", ""all_points_x"": [34, 42, 42, 34], ""all_points_y"": [233, 233, 279, 279]}","{""Defect_Class"":""Contact_NearSolderPad""}"
20170602_125152_JABIL_QCELLS_521711165014200027_0Pa_s_A_V_cell_43.png,95688,{},10,1,"{""name"": ""polygon"", ""all_points_x"": [81, 89, 89, 81], ""all_points_y"": [234, 234, 278, 278]}","{""Defect_Class"":""Contact_NearSolderPad""}"
20170602_125152_JABIL_QCELLS_521711165014200027_0Pa_s_A_V_cell_43.png,95688,{},10,2,"{""name"": ""polygon"", ""all_points_x"": [97, 103, 103, 97], ""all_points_y"": [257, 257, 279, 279]}","{""Defect_Class"":""Contact_NearSolderPad""}"
20170602_125152_JABIL_QCELLS_521711165014200027_0Pa_s_A_V_cell_43.png,95688,{},10,3,"{""name"": ""polygon"", ""all_points_x"": [116, 123, 123, 116], ""all_points_y"": [234, 234, 280, 280]}","{""Defect_Class"":""Contact_NearSolderPad""}"
20170602_125152_JABIL_QCELLS_521711165014200027_0Pa_s_A_V_cell_43.png,95688,{},10,4,"{""name"": ""polygon"", ""all_points_x"": [154, 160, 160, 154], ""all_points_y"": [261, 261, 278, 278]}","{""Defect_Class"":""Contact_NearSolderPad""}"
20170602_125152_JABIL_QCELLS_521711165014200027_0Pa_s_A_V_cell_43.png,95688,{},10,5,"{""name"": ""polygon"", ""all_points_x"": [167, 172, 172, 167], ""all_points_y"": [235, 235, 279, 279]}","{""Defect_Class"":""Contact_NearSolderPad""}"
20170602_125152_JABIL_QCELLS_521711165014200027_0Pa_s_A_V_cell_43.png,95688,{},10,6,"{""name"": ""polygon"", ""all_points_x"": [204, 208, 208, 204], ""all_points_y"": [256, 256, 279, 279]}","{""Defect_Class"":""Contact_NearSolderPad""}"
20170602_125152_JABIL_QCELLS_521711165014200027_0Pa_s_A_V_cell_43.png,95688,{},10,7,"{""name"": ""polygon"", ""all_points_x"": [270, 281, 281, 270], ""all_points_y"": [262, 262, 281, 281]}","{""Defect_Class"":""Contact_NearSolderPad""}"
20170602_125152_JABIL_QCELLS_521711165014200027_0Pa_s_A_V_cell_43.png,95688,{},10,8,"{""name"": ""polygon"", ""all_points_x"": [281, 286, 286, 281], ""all_points_y"": [161, 161, 207, 207]}","{""Defect_Class"":""Contact_FrontGridInterruption""}"
20170602_125152_JABIL_QCELLS_521711165014200027_0Pa_s_A_V_cell_43.png,95688,{},10,9,"{""name"": ""polygon"", ""all_points_x"": [28, 48, 94, 125, 168, 6, 6, 288, 288, 263, 243, 220, 206, 171, 122, 50, 34], ""all_points_y"": [139, 122, 86, 65, 42, 42, 0, 1, 10, 12, 19, 30, 42, 44, 72, 125, 138]}","{""Defect_Class"":""Crack_Resistive""}"
20170602_125152_JABIL_QCELLS_521711165014200027_0Pa_s_A_V_cell_44.png,98003,{},7,0,"{""name"": ""polygon"", ""all_points_x"": [100, 105, 105, 100], ""all_points_y"": [258, 258, 281, 281]}","{""Defect_Class"":""Contact_NearSolderPad""}"
20170602_125152_JABIL_QCELLS_521711165014200027_0Pa_s_A_V_cell_44.png,98003,{},7,1,"{""name"": ""polygon"", ""all_points_x"": [274, 285, 285, 274], ""all_points_y"": [264, 264, 281, 281]}","{""Defect_Class"":""Contact_NearSolderPad""}"
20170602_125152_JABIL_QCELLS_521711165014200027_0Pa_s_A_V_cell_44.png,98003,{},7,2,"{""name"": ""polygon"", ""all_points_x"": [163, 168, 168, 163], ""all_points_y"": [192, 192, 218, 218]}","{""Defect_Class"":""Contact_FrontGridInterruption""}"
