#filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
20170516_151935_KYOCERA_MODEL_103ZZG0002_1000Pa-200Cycles_s_A_V_cell_5.png,100393,"{}",2,0,"{""name"":""polygon"",""all_points_x"":[275,286,286,272,275],""all_points_y"":[194,198,256,257,194]}","{""Defect_Class"":""Contact_FrontGridInterruption""}"
20170516_151935_KYOCERA_MODEL_103ZZG0002_1000Pa-200Cycles_s_A_V_cell_5.png,100393,"{}",2,1,"{""name"":""polygon"",""all_points_x"":[116,128,127,116,116],""all_points_y"":[99,101,137,137,99]}","{""Defect_Class"":""Contact_FrontGridInterruption""}"
20170516_151935_KYOCERA_MODEL_103ZZG0002_1000Pa-200Cycles_s_A_V_cell_6.png,100518,"{}",3,0,"{""name"":""polygon"",""all_points_x"":[213,226,222,210,213],""all_points_y"":[105,110,145,140,105]}","{""Defect_Class"":""Contact_FrontGridInterruption""}"
20170516_151935_KYOCERA_MODEL_103ZZG0002_1000Pa-200Cycles_s_A_V_cell_6.png,100518,"{}",3,1,"{""name"":""polygon"",""all_points_x"":[210,219,215,202,210],""all_points_y"":[199,200,257,248,199]}","{""Defect_Class"":""Contact_FrontGridInterruption""}"
20170516_151935_KYOCERA_MODEL_103ZZG0002_1000Pa-200Cycles_s_A_V_cell_6.png,100518,"{}",3,2,"{""name"":""polygon"",""all_points_x"":[99,88,92,99,99],""all_points_y"":[196,197,226,225,196]}","{""Defect_Class"":""Contact_FrontGridInterruption""}"
20170516_151935_KYOCERA_MODEL_103ZZG0002_1000Pa-200Cycles_s_A_V_cell_8.png,99866,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[213,217,229,224,211,213],""all_points_y"":[275,251,253,286,282,275]}","{""Defect_Class"":""Contact_NearSolderPad""}"
20170516_151935_KYOCERA_MODEL_103ZZG0002_1000Pa-200Cycles_s_A_V_cell_15.png,101658,"{}",6,0,"{""name"":""polygon"",""all_points_x"":[47,57,56,45,47],""all_points_y"":[42,45,79,78,42]}","{""Defect_Class"":""Contact_FrontGridInterruption""}"
20170516_151935_KYOCERA_MODEL_103ZZG0002_1000Pa-200Cycles_s_A_V_cell_15.png,101658,"{}",6,1,"{""name"":""polygon"",""all_points_x"":[37,39,51,50,37],""all_points_y"":[116,169,165,117,116]}","{""Defect_Class"":""Contact_FrontGridInterruption""}"
20170516_151935_KYOCERA_MODEL_103ZZG0002_1000Pa-200Cycles_s_A_V_cell_15.png,101658,"{}",6,2,"{""name"":""polygon"",""all_points_x"":[87,95,97,88,87],""all_points_y"":[96,101,153,152,96]}","{""Defect_Class"":""Contact_FrontGridInterruption""}"
20170516_151935_KYOCERA_MODEL_103ZZG0002_1000Pa-200Cycles_s_A_V_cell_15.png,101658,"{}",6,3,"{""name"":""polygon"",""all_points_x"":[133,135,145,145,133],""all_points_y"":[96,129,129,95,96]}","{""Defect_Class"":""Contact_FrontGridInterruption""}"
20170516_151935_KYOCERA_MODEL_103ZZG0002_1000Pa-200Cycles_s_A_V_cell_15.png,101658,"{}",6,4,"{""name"":""polygon"",""all_points_x"":[20,30,24,18,14,20],""all_points_y"":[104,179,178,147,147,104]}","{""Defect_Class"":""Crack_Isolated""}"
20170516_151935_KYOCERA_MODEL_103ZZG0002_1000Pa-200Cycles_s_A_V_cell_15.png,101658,"{}",6,5,"{""name"":""polygon"",""all_points_x"":[15,39,17,15],""all_points_y"":[227,240,266,227]}","{""Defect_Class"":""Crack_Isolated""}"
20170516_151935_KYOCERA_MODEL_103ZZG0002_1000Pa-200Cycles_s_A_V_cell_16.png,101619,"{}",5,0,"{""name"":""polygon"",""all_points_x"":[203,203,235,235,203],""all_points_y"":[182,226,219,181,182]}","{""Defect_Class"":""Contact_FrontGridInterruption""}"
20170516_151935_KYOCERA_MODEL_103ZZG0002_1000Pa-200Cycles_s_A_V_cell_16.png,101619,"{}",5,1,"{""name"":""polygon"",""all_points_x"":[178,189,192,179,178],""all_points_y"":[198,190,230,234,198]}","{""Defect_Class"":""Contact_FrontGridInterruption""}"
20170516_151935_KYOCERA_MODEL_103ZZG0002_1000Pa-200Cycles_s_A_V_cell_16.png,101619,"{}",5,2,"{""name"":""polygon"",""all_points_x"":[137,139,149,145,137],""all_points_y"":[221,262,261,219,221]}","{""Defect_Class"":""Contact_FrontGridInterruption""}"
20170516_151935_KYOCERA_MODEL_103ZZG0002_1000Pa-200Cycles_s_A_V_cell_16.png,101619,"{}",5,3,"{""name"":""polygon"",""all_points_x"":[168,173,175,166,168],""all_points_y"":[201,200,233,231,201]}","{""Defect_Class"":""Contact_FrontGridInterruption""}"
20170516_151935_KYOCERA_MODEL_103ZZG0002_1000Pa-200Cycles_s_A_V_cell_16.png,101619,"{}",5,4,"{""name"":""polygon"",""all_points_x"":[20,18,53,19,19,49,118,138,135,104,61,90,99,93,79,73,73,51,57,61,50,20],""all_points_y"":[258,259,253,239,230,240,214,217,241,233,243,249,264,268,255,258,274,295,269,260,254,258]}","{""Defect_Class"":""Crack_Closed""}"
20170516_151935_KYOCERA_MODEL_103ZZG0002_1000Pa-200Cycles_s_A_V_cell_23.png,101437,"{}",2,0,"{""name"":""polygon"",""all_points_x"":[249,260,259,249,249],""all_points_y"":[176,185,250,247,176]}","{""Defect_Class"":""Contact_FrontGridInterruption""}"
20170516_151935_KYOCERA_MODEL_103ZZG0002_1000Pa-200Cycles_s_A_V_cell_23.png,101437,"{}",2,1,"{""name"":""polygon"",""all_points_x"":[85,95,115,105,85],""all_points_y"":[50,62,31,28,50]}","{""Defect_Class"":""Crack_Closed""}"
20170516_151935_KYOCERA_MODEL_103ZZG0002_1000Pa-200Cycles_s_A_V_cell_24.png,100910,"{}",2,0,"{""name"":""polygon"",""all_points_x"":[220,222,230,231,220],""all_points_y"":[188,247,242,189,188]}","{""Defect_Class"":""Contact_FrontGridInterruption""}"
