#filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
20170525_132714_JABIL_QCELLS_521911172014200010_0Cycles_s_A_V_cell_42.png,96519,"{}",15,0,"{""name"":""polygon"",""all_points_x"":[41,41,45,45,41],""all_points_y"":[10,30,30,9,10]}","{""Defect_Class"":""Contact_FrontGridInterruption""}"
20170525_132714_JABIL_QCELLS_521911172014200010_0Cycles_s_A_V_cell_42.png,96519,"{}",15,1,"{""name"":""polygon"",""all_points_x"":[129,134,133,129,129],""all_points_y"":[8,8,53,53,8]}","{""Defect_Class"":""Contact_NearSolderPad""}"
20170525_132714_JABIL_QCELLS_521911172014200010_0Cycles_s_A_V_cell_42.png,96519,"{}",15,2,"{""name"":""polygon"",""all_points_x"":[146,143,143,147,146],""all_points_y"":[38,37,8,9,38]}","{""Defect_Class"":""Contact_FrontGridInterruption""}"
20170525_132714_JABIL_QCELLS_521911172014200010_0Cycles_s_A_V_cell_42.png,96519,"{}",15,3,"{""name"":""polygon"",""all_points_x"":[226,229,229,225,226],""all_points_y"":[23,23,9,9,23]}","{""Defect_Class"":""Contact_FrontGridInterruption""}"
20170525_132714_JABIL_QCELLS_521911172014200010_0Cycles_s_A_V_cell_42.png,96519,"{}",15,4,"{""name"":""polygon"",""all_points_x"":[261,262,265,265,261],""all_points_y"":[292,267,267,292,292]}","{""Defect_Class"":""Contact_FrontGridInterruption""}"
20170525_132714_JABIL_QCELLS_521911172014200010_0Cycles_s_A_V_cell_42.png,96519,"{}",15,5,"{""name"":""polygon"",""all_points_x"":[100,102,103,99,100],""all_points_y"":[281,281,290,290,281]}","{""Defect_Class"":""Contact_FrontGridInterruption""}"
20170525_132714_JABIL_QCELLS_521911172014200010_0Cycles_s_A_V_cell_42.png,96519,"{}",15,6,"{""name"":""polygon"",""all_points_x"":[30,31,34,34,30],""all_points_y"":[290,248,248,291,290]}","{""Defect_Class"":""Contact_NearSolderPad""}"
20170525_132714_JABIL_QCELLS_521911172014200010_0Cycles_s_A_V_cell_42.png,96519,"{}",15,7,"{""name"":""polygon"",""all_points_x"":[259,264,265,260,259],""all_points_y"":[144,144,99,99,144]}","{""Defect_Class"":""Contact_FrontGridInterruption""}"
20170525_132714_JABIL_QCELLS_521911172014200010_0Cycles_s_A_V_cell_42.png,96519,"{}",15,8,"{""name"":""polygon"",""all_points_x"":[211,210,215,216,211],""all_points_y"":[58,104,104,58,58]}","{""Defect_Class"":""Contact_NearSolderPad""}"
20170525_132714_JABIL_QCELLS_521911172014200010_0Cycles_s_A_V_cell_42.png,96519,"{}",15,9,"{""name"":""polygon"",""all_points_x"":[116,123,122,115,116],""all_points_y"":[154,154,217,216,154]}","{""Defect_Class"":""Contact_NearSolderPad""}"
